formula,surface_facet,adsorbate,E_clean_slab_eV,E_slab_with_h_eV,E_h2_eV,ΔGH_eV,descriptor_eV,source,adsorption_site,h2_source,relaxed,status,timestamp
graphene,sheet,H,-313.3585364135347,-313.8824941311638,-6.438412987227499,2.6952487759846333,2.6952487759846333,GPAW_LDA,top_4,computed,False,completed,2026-04-27T08:35:42.053361
MoB,(100),H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.803810
MoB,(100)_vac2B,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.805168
MoB,(100)_dopAu,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.804462
MoB,(100)_dopIr,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.804522
MoB,(100)_vac2Mo,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.805317
MoB,(100)_dopPt,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.804827
MoB,(100)_dopNi,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.804413
MoB,(100)_dopRu,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.804958
MoB,(110)_dopAg,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.805759
MoB,(100)_dopAg,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.804375
MoB,(110),H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.805598
MoB,(110)_dopAu,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.805747
MoB,(100)_vacB,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.805399
MoB,(100)_vacMo,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T08:51:03.805498
MoB,(110)_dopNi,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T16:51:04.254917
MoB,(110)_dopIr,H,,,,,,GPAW_LDA,,computed,True,failed,2026-04-30T16:51:04.066672
MoB,(100)_dopNi,H,,,,,,GPAW_LDA,,computed,True,failed,2026-05-04T18:52:09.277269
MoB,(100)_dopNi,H,,,,,,GPAW_LDA,,computed,True,failed,2026-05-04T22:52:19.946821
MoB,(100)_dopNi,H,,,,,,GPAW_LDA,,computed,True,failed,2026-05-05T02:53:27.712259
MoB,(110)_dopIr,H,,,,,,GPAW_LDA,,computed,True,failed,2026-05-05T02:53:27.712477
